Sub	Run	Trial	OldT	Delay	LuckyDeck	ObjPP	OldObjLuckyDeck	ObjDeckMatch	Outcome	Resp	RT	DeckC	LuckyDeckC	OldObjC	RevT	OldDeckPP	OldDeck	EncRevT	Enc_Pay1	OptObj	PP	StayResp
27	5	246	1	15	2	0.4	1	0	0.4	2	817.195305018686	1	0	1	3	0	1	6	0.6	0	0	1
27	5	247	1	12	2	0.2	0	1	0.2	1	1254.71061101416	2	1	1	4	0.4	2	10	1	0	0.4	0
27	5	248	1	10	2	0.6	0	0	0.6	2	1063.77575898659	2	1	1	5	0.2	2	13	0.8	1	0.2	1
27	5	249	0	NaN	2	NaN	NaN	NaN	1	2	795.760634995531	2	1	NaN	6	NaN	NaN	NaN	NaN	NaN	0.6	1
27	5	250	0	NaN	2	NaN	NaN	NaN	0.6	2	1054.66076999437	1	0	NaN	7	NaN	NaN	NaN	NaN	NaN	1	0
27	5	251	1	19	2	0.6	1	1	0.6	1	1421.03224797756	1	0	1	8	0.6	1	7	0.4	1	0.6	1
27	5	252	1	11	2	1	1	1	1	1	884.729748999234	1	0	1	9	0.6	1	16	1	1	0.6	1
27	5	253	1	11	2	0.2	0	1	0.2	1	1171.72402498545	2	1	1	10	1	2	17	1	0	1	0
27	5	254	0	NaN	2	NaN	NaN	NaN	0	2	1133.5904020234	2	1	NaN	11	NaN	NaN	NaN	NaN	NaN	0.2	1
27	5	255	0	NaN	2	NaN	NaN	NaN	0	1	767.708386003505	2	1	NaN	12	NaN	NaN	NaN	NaN	NaN	0	1
27	5	256	1	20	2	0.6	1	1	NaN	NaN	NaN	NaN	NaN	0	13	1	1	11	0.2	0	0	0
27	5	257	1	20	2	0.8	1	1	0.8	2	1258.32110398915	1	0	1	14	1	1	12	0.6	1	NaN	0
27	5	258	1	15	2	0.4	0	1	0.4	2	683.361510979012	2	1	1	15	0	2	18	0.2	0	0.8	0
27	5	259	0	NaN	2	NaN	NaN	NaN	0.4	2	1098.30641999724	1	0	NaN	16	NaN	NaN	NaN	NaN	NaN	0.4	0
27	5	260	1	11	1	1	1	1	1	1	1087.70194498356	2	0	1	1	0.4	2	6	0.6	1	0.4	0
27	5	261	1	27	1	1	0	0	1	2	1237.77516500559	1	1	1	2	0.4	1	9	0	1	1	0
27	5	262	0	NaN	1	NaN	NaN	NaN	0.2	1	1188.66005999735	2	0	NaN	3	NaN	NaN	NaN	NaN	NaN	1	0
27	5	263	0	NaN	1	NaN	NaN	NaN	0.2	2	1337.73749001557	2	0	NaN	4	NaN	NaN	NaN	NaN	NaN	0.2	1
27	5	264	1	14	1	0.6	0	0	0.6	2	1205.48988500377	1	1	1	5	1	1	7	1	1	0.2	0
27	5	265	1	10	1	0	1	0	0.8	1	1490.82568200538	1	1	0	6	0.2	2	12	0	1	0.6	1
27	5	266	0	NaN	1	NaN	NaN	NaN	0.4	1	1280.01949598547	2	0	NaN	7	NaN	NaN	NaN	NaN	NaN	0.8	0
27	5	267	0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	NaN	NaN	NaN	NaN	NaN	0.4	0
27	5	268	0	NaN	1	NaN	NaN	NaN	0.4	1	1415.34454299835	1	1	NaN	9	NaN	NaN	NaN	NaN	NaN	NaN	0
27	5	269	1	15	1	0	1	0	NaN	NaN	NaN	NaN	NaN	0	10	0.4	2	11	0.2	1	0.4	0
27	5	270	0	NaN	1	NaN	NaN	NaN	0.6	2	836.368367017712	1	1	NaN	11	NaN	NaN	NaN	NaN	NaN	NaN	0
27	5	271	0	NaN	1	NaN	NaN	NaN	0.2	2	840.937925007893	1	1	NaN	12	NaN	NaN	NaN	NaN	NaN	0.6	1
27	5	272	0	NaN	1	NaN	NaN	NaN	0	2	1290.35107800155	2	0	NaN	13	NaN	NaN	NaN	NaN	NaN	0.2	0
27	5	273	1	14	1	0.4	0	1	0.4	2	1246.00001602084	1	1	1	14	0.2	1	16	0.4	0	0	0
27	5	274	0	NaN	1	NaN	NaN	NaN	0	1	1285.51714099012	2	0	NaN	15	NaN	NaN	NaN	NaN	NaN	0.4	0
27	5	275	0	NaN	1	NaN	NaN	NaN	1	2	1380.87737400201	1	1	NaN	16	NaN	NaN	NaN	NaN	NaN	0	0
27	5	276	1	13	1	0.2	1	0	0.2	2	1209.28978300071	2	0	1	17	0	2	4	0.2	0	1	0
27	5	277	0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18	NaN	NaN	NaN	NaN	NaN	0.2	0
27	5	278	0	NaN	1	NaN	NaN	NaN	0.4	1	1043.86998899281	2	0	NaN	19	NaN	NaN	NaN	NaN	NaN	NaN	0
27	5	279	1	11	1	0.4	0	1	0.4	1	1152.72345000994	1	1	1	20	1	1	9	NaN	0	0.4	0
27	5	280	1	10	2	0.6	1	1	NaN	NaN	NaN	NaN	NaN	0	1	0.4	1	11	NaN	0	0.4	0
27	5	281	1	10	2	0.2	1	0	0.2	1	1412.86548701464	1	0	1	2	0.4	1	12	0.6	0	NaN	0
27	5	282	1	16	2	0.4	0	1	0.8	1	972.383651009295	1	0	0	3	0.4	2	7	0.8	1	0.2	1
27	5	283	1	21	2	0.2	0	1	0.4	1	1475.72169400519	1	0	0	4	0.4	2	3	1	1	0.8	1
27	5	284	0	NaN	2	NaN	NaN	NaN	1	2	1169.31266299798	2	1	NaN	5	NaN	NaN	NaN	NaN	NaN	0.4	0
27	5	285	0	NaN	2	NaN	NaN	NaN	1	1	826.627166010439	1	0	NaN	6	NaN	NaN	NaN	NaN	NaN	1	0
27	5	286	0	NaN	2	NaN	NaN	NaN	0	1	1341.30685098353	1	0	NaN	7	NaN	NaN	NaN	NaN	NaN	1	1
27	5	287	0	NaN	2	NaN	NaN	NaN	0.8	2	975.135776010575	2	1	NaN	8	NaN	NaN	NaN	NaN	NaN	0	0
27	5	288	1	14	2	0	0	1	0.2	2	1128.75909000286	1	0	0	9	0.8	2	15	0.4	1	0.8	0
27	5	289	0	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	0.2	0
27	5	290	1	18	2	0	0	1	0.8	2	1168.82542500389	1	0	0	11	0.8	2	13	0.2	1	NaN	0
27	5	291	1	16	2	1	1	1	1	2	1442.00175799779	1	0	1	12	0.8	1	16	0	1	0.8	1
27	5	292	0	NaN	2	NaN	NaN	NaN	0.6	2	1410.69395001978	1	0	NaN	13	NaN	NaN	NaN	NaN	NaN	1	1
27	5	293	0	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14	NaN	NaN	NaN	NaN	NaN	0.6	0
27	5	294	0	NaN	2	NaN	NaN	NaN	0.6	1	1345.22857100819	2	1	NaN	15	NaN	NaN	NaN	NaN	NaN	NaN	0
27	5	295	1	11	2	1	0	0	NaN	NaN	NaN	NaN	NaN	0	16	0.6	2	5	0.4	0	0.6	0
27	5	296	0	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17	NaN	NaN	NaN	NaN	NaN	NaN	0
27	5	297	0	NaN	2	NaN	NaN	NaN	0.6	2	1070.45179000124	2	1	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	0
27	5	298	0	NaN	2	NaN	NaN	NaN	0.4	1	1178.48346199025	2	1	NaN	19	NaN	NaN	NaN	NaN	NaN	0.6	1
